ocean ocean seaIce ocean seaIce seaIce ocean seaIce ocean seaIce ocean ocean ocean seaIce ocean seaIce ocean ocean ocean ocean ocean coast coast seaIce ocean seaIce ocean coast ocean coast seaIce seaIce seaIce coast ocean seaIce seaIce seaIce coast ocean ocean seaIce ocean ocean ocean seaIce seaIce coast ocean seaIce ocean coast seaIce seaIce seaIce seaIce coast ocean ocean ocean seaIce ocean ocean ocean seaIce ocean ocean ocean coast ocean seaIce ocean ocean seaIce ocean seaIce ocean ocean seaIce ocean seaIce ocean seaIce seaIce ocean ocean ocean seaIce seaIce ocean seaIce ocean ocean seaIce seaIce ocean ocean seaIce coast coast ocean coast coast seaIce coast ocean seaIce ocean seaIce ocean seaIce coast seaIce seaIce seaIce seaIce ocean ocean ocean seaIce ocean ocean seaIce ocean seaIce ocean ocean seaIce ocean ocean ocean ocean ocean ocean seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean coast ocean ocean seaIce ocean ocean seaIce seaIce seaIce ocean seaIce seaIce ocean seaIce seaIce seaIce coast seaIce coast seaIce coast seaIce seaIce coast coast coast coast ocean seaIce ocean seaIce ocean seaIce ocean ocean seaIce coast coast seaIce ocean coast seaIce ocean ocean seaIce seaIce ocean seaIce ocean seaIce ocean seaIce ocean ocean ocean ocean 

seaIce seaIce seaIce seaIce ocean seaIce ocean seaIce ocean seaIce seaIce seaIce ocean ocean ocean ocean ocean ocean ocean ocean coast tundra tundra coast seaIce coast coast tundra coast tundra coast seaIce coast tundra coast coast coast coast tundra coast coast seaIce ocean ocean seaIce coast coast tundra coast coast coast tundra coast seaIce coast coast tundra coast coast seaIce seaIce ocean seaIce seaIce coast seaIce coast coast tundra coast ocean coast coast ocean seaIce ocean ocean coast seaIce ocean coast ocean ocean ocean ocean seaIce ocean seaIce seaIce ocean seaIce ocean ocean ocean ocean seaIce ocean coast tundra tundra coast tundra tundra coast tundra coast seaIce ocean seaIce ocean coast tundra coast coast seaIce ocean ocean seaIce ocean ocean seaIce ocean seaIce seaIce seaIce ocean ocean ocean seaIce seaIce seaIce ocean seaIce seaIce ocean seaIce seaIce ocean seaIce seaIce seaIce seaIce seaIce coast tundra coast seaIce ocean ocean ocean seaIce ocean ocean ocean ocean seaIce seaIce seaIce seaIce coast tundra coast tundra coast tundra coast coast tundra tundra forest tundra coast ocean coast seaIce ocean coast ocean coast coast tundra tundra coast coast tundra coast ocean coast seaIce coast seaIce seaIce ocean seaIce ocean ocean seaIce ocean ocean seaIce 

ocean seaIce ocean ocean seaIce seaIce seaIce ocean seaIce ocean ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean coast tundra trees tundra coast coast tundra tundra trees tundra trees tundra coast tundra trees tundra tundra tundra tundra trees tundra tundra coast seaIce ocean coast tundra tundra trees tundra tundra tundra hills tundra coast tundra tundra trees tundra tundra coast seaIce ocean ocean coast tundra coast tundra tundra tundra coast coast tundra tundra coast coast coast coast tundra coast coast tundra coast ocean seaIce ocean ocean ocean seaIce ocean seaIce seaIce ocean seaIce ocean coast coast coast coast tundra trees tundra tundra trees tundra hills tundra coast seaIce ocean coast tundra trees forest tundra coast coast seaIce ocean ocean seaIce seaIce ocean seaIce ocean ocean seaIce ocean ocean ocean seaIce ocean ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean seaIce ocean ocean coast tundra tundra coast coast seaIce ocean seaIce seaIce seaIce ocean ocean ocean ocean ocean coast tundra trees tundra tundra tundra trees tundra tundra hills forest forest trees tundra coast tundra coast coast tundra coast tundra tundra trees trees tundra tundra trees tundra coast tundra coast tundra coast ocean seaIce seaIce ocean ocean seaIce seaIce ocean ocean 

ocean ocean ocean seaIce seaIce ocean ocean seaIce ocean ocean ocean seaIce ocean seaIce ocean ocean ocean seaIce seaIce coast tundra trees trees tundra tundra trees trees trees tundra trees hills tundra hills forest trees trees trees trees forest trees trees tundra coast coast tundra trees trees forest trees trees trees hills tundra tundra trees trees forest trees tundra coast seaIce seaIce coast tundra tundra tundra trees trees tundra tundra coast tundra hills tundra tundra tundra tundra tundra tundra coast tundra coast ocean seaIce ocean ocean seaIce ocean ocean ocean ocean seaIce ocean coast tundra tundra tundra tundra hills forest trees trees forest trees forest trees tundra coast coast tundra trees forest forest trees tundra tundra coast coast seaIce coast seaIce ocean ocean seaIce seaIce ocean seaIce seaIce seaIce seaIce ocean seaIce seaIce ocean ocean seaIce seaIce ocean seaIce ocean seaIce seaIce coast tundra trees tundra tundra tundra coast seaIce seaIce seaIce seaIce ocean ocean seaIce ocean coast tundra trees trees trees tundra trees trees trees tundra tundra trees forest trees tundra tundra trees tundra tundra hills tundra trees trees trees tundra tundra trees trees tundra tundra tundra tundra tundra coast coast coast seaIce seaIce seaIce ocean ocean ocean seaIce 

ocean ocean seaIce seaIce seaIce seaIce ocean coast coast ocean seaIce seaIce seaIce ocean ocean seaIce seaIce ocean seaIce coast tundra forest forest trees trees forest trees forest trees forest forest trees hills forest trees trees forest forest trees trees forest trees tundra tundra trees forest forest trees trees trees forest forest trees trees forest hills trees trees hills tundra coast coast tundra trees tundra tundra trees forest trees trees tundra trees tundra trees trees trees tundra trees trees tundra trees tundra coast seaIce ocean seaIce seaIce ocean seaIce ocean ocean seaIce coast coast tundra tundra trees hills hills forest trees trees forest trees trees tundra tundra tundra tundra trees trees trees forest forest trees trees tundra tundra coast tundra coast coast seaIce coast ocean seaIce ocean seaIce seaIce ocean seaIce ocean seaIce seaIce seaIce ocean ocean seaIce ocean ocean ocean coast tundra trees trees tundra hills tundra coast seaIce ocean ocean seaIce ocean ocean seaIce seaIce coast trees forest trees trees tundra tundra trees tundra tundra hills trees forest trees trees trees forest hills tundra tundra tundra tundra trees trees trees tundra trees trees tundra tundra trees trees trees tundra tundra tundra coast seaIce ocean ocean seaIce ocean ocean 

ocean ocean seaIce seaIce seaIce coast coast tundra tundra coast seaIce seaIce coast ocean ocean ocean seaIce seaIce seaIce coast tundra trees trees tundra trees trees forest trees trees forest forest forest hills hills forest forest forest trees trees forest forest forest trees tundra trees forest forest trees trees forest forest trees forest forest trees forest trees trees forest hills tundra tundra hills tundra tundra trees hills forest trees tundra tundra trees trees trees trees trees hills forest trees trees trees tundra coast seaIce seaIce ocean ocean ocean seaIce seaIce ocean coast tundra tundra trees trees forest forest forest forest trees forest forest trees tundra tundra tundra trees trees tundra tundra trees forest forest trees trees trees tundra coast tundra tundra tundra coast tundra coast seaIce ocean ocean ocean seaIce ocean ocean ocean seaIce seaIce ocean ocean seaIce ocean seaIce ocean ocean coast tundra trees trees tundra tundra coast seaIce ocean seaIce ocean coast ocean seaIce coast forest forest forest forest forest trees trees tundra trees trees forest forest forest trees forest forest forest hills trees trees trees trees trees trees forest trees trees trees trees tundra trees tundra trees tundra trees tundra coast seaIce seaIce ocean ocean ocean seaIce 
